Criterion_Type	Criterion_Value	Total_Items	google_gemma-3-27b-it_Accuracy_Percent	google_gemma-3-27b-it_Unparsable_Percent	google_gemma-3-27b-it_Model_Error_Percent	google_gemma-3-27b-it_Total_Time_s	google_gemma-3-27b-it_Total_Price	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	deepseek_deepseek-v3.2_Accuracy_Percent	deepseek_deepseek-v3.2_Unparsable_Percent	deepseek_deepseek-v3.2_Model_Error_Percent	deepseek_deepseek-v3.2_Total_Time_s	deepseek_deepseek-v3.2_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	meta-llama_llama-4-scout_Accuracy_Percent	meta-llama_llama-4-scout_Unparsable_Percent	meta-llama_llama-4-scout_Model_Error_Percent	meta-llama_llama-4-scout_Total_Time_s	meta-llama_llama-4-scout_Total_Price	google_gemini-2.5-flash-lite_Accuracy_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	google_gemini-2.5-flash-lite_Total_Time_s	google_gemini-2.5-flash-lite_Total_Price
piece_id	Jan_DuGrosserSchmerzensmann	42	16.67	8.57	0.0	405.26	0.003021	28.57	0.0	0.0	118.07	0.022297	42.86	0.0	0.0	83.69	0.0022	35.71	0.0	0.0	593.87	0.0	38.1	0.0	0.0	779.91	0.011627	26.19	9.68	0.0	120.83	0.004196	33.33	0.0	0.0	271.64	0.006765	33.33	0.0	0.0	338.44	0.035956
piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	33.33	5.56	0.0	214.57	0.001653	48.15	0.0	0.0	70.01	0.014165	48.15	0.0	0.0	70.66	0.001737	18.52	0.0	0.0	415.24	0.0	37.04	0.0	0.0	367.8	0.006813	29.63	10.53	0.0	58.08	0.002067	48.15	0.0	0.0	188.23	0.00508	37.04	0.0	0.0	181.94	0.01803
piece_id	Vulpius_ChristusDerIstMeinLeben	21	23.81	0.0	0.0	189.81	0.001321	33.33	0.0	0.0	62.17	0.010818	33.33	0.0	0.0	48.48	0.00099	33.33	0.0	0.0	355.49	0.0	23.81	0.0	0.0	392.26	0.00568	19.05	11.76	0.0	55.43	0.001673	14.29	0.0	0.0	144.05	0.003485	19.05	0.0	0.0	163.31	0.018074
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	29.17	5.88	0.0	210.68	0.001734	37.5	0.0	0.0	63.54	0.013456	37.5	0.0	0.0	50.97	0.001299	29.17	0.0	0.0	378.28	0.0	12.5	0.0	0.0	577.17	0.006173	41.67	14.29	0.0	55.09	0.001886	33.33	0.0	0.0	200.73	0.004885	29.17	0.0	0.0	174.73	0.019909
is_nota_correct	0	240	23.75	6.01	0.0	2165.23	0.017834	39.17	0.0	0.0	646.06	0.129136	30.0	0.0	0.0	537.12	0.013379	20.0	0.0	0.0	3378.54	0.0	12.5	0.0	0.0	4459.51	0.064547	22.08	14.97	0.0	632.2	0.021726	30.42	0.0	0.0	1567.92	0.043842	27.5	0.57	0.0	1713.99	0.185736
is_nota_correct	1	60	8.33	1.82	0.0	527.94	0.004193	16.67	0.0	0.0	162.85	0.031367	56.67	0.0	0.0	124.06	0.003435	40.0	0.0	0.0	912.3	0.0	71.67	0.0	0.0	1261.84	0.017365	40.0	16.67	0.0	165.79	0.005921	31.67	0.0	0.0	411.45	0.010685	35.0	0.0	0.0	580.97	0.066358
meta-question_id	1	30	23.33	0.0	0.0	314.2	0.001538	30.0	0.0	0.0	82.96	0.017022	36.67	0.0	0.0	60.23	0.001461	20.0	0.0	0.0	1029.32	0.0	26.67	0.0	0.0	756.41	0.006512	26.67	0.0	0.0	77.22	0.002491	23.33	0.0	0.0	149.36	0.004203	16.67	0.0	0.0	182.3	0.020451
meta-question_id	10	21	19.05	5.88	0.0	182.4	0.002671	33.33	0.0	0.0	59.09	0.01031	28.57	0.0	0.0	59.24	0.001494	4.76	0.0	0.0	253.1	0.0	23.81	0.0	0.0	224.79	0.006891	14.29	38.89	0.0	54.1	0.001791	23.81	0.0	0.0	136.75	0.003889	14.29	0.0	0.0	208.02	0.023178
meta-question_id	11	18	11.11	12.5	0.0	92.4	0.001374	33.33	0.0	0.0	42.31	0.008807	33.33	0.0	0.0	44.68	0.001093	33.33	0.0	0.0	155.31	0.0	16.67	0.0	0.0	249.47	0.005238	5.56	23.53	0.0	43.51	0.001542	38.89	0.0	0.0	123.99	0.003662	33.33	0.0	0.0	143.54	0.015192
meta-question_id	2	30	13.33	0.0	0.0	261.1	0.001512	33.33	0.0	0.0	88.34	0.0152	46.67	0.0	0.0	58.68	0.001302	33.33	0.0	0.0	215.92	0.0	23.33	0.0	0.0	532.91	0.007079	40.0	5.56	0.0	75.55	0.002354	30.0	0.0	0.0	184.78	0.00406	43.33	0.0	0.0	108.23	0.010656
meta-question_id	3	30	13.33	11.54	0.0	308.96	0.002121	23.33	0.0	0.0	73.77	0.016457	26.67	0.0	0.0	65.63	0.001622	10.0	0.0	0.0	373.28	0.0	20.0	0.0	0.0	1023.55	0.006791	20.0	37.5	0.0	74.99	0.002742	16.67	0.0	0.0	208.8	0.005055	16.67	0.0	0.0	233.38	0.025847
meta-question_id	4	30	20.0	8.33	0.0	338.18	0.002088	40.0	0.0	0.0	76.9	0.016709	30.0	0.0	0.0	59.4	0.001664	36.67	0.0	0.0	291.3	0.0	30.0	0.0	0.0	542.48	0.008067	30.0	0.0	0.0	81.44	0.002829	46.67	0.0	0.0	175.23	0.004935	23.33	4.35	0.0	454.08	0.054417
meta-question_id	5	30	36.67	5.26	0.0	271.22	0.001845	33.33	0.0	0.0	72.36	0.015262	46.67	0.0	0.0	61.99	0.001552	16.67	0.0	0.0	319.12	0.0	30.0	0.0	0.0	617.45	0.007557	16.67	28.0	0.0	77.72	0.002608	50.0	0.0	0.0	220.55	0.005354	40.0	0.0	0.0	164.93	0.016177
meta-question_id	6	30	13.33	0.0	0.0	304.84	0.00241	50.0	0.0	0.0	95.03	0.017864	46.67	0.0	0.0	51.34	0.001407	53.33	0.0	0.0	374.4	0.0	40.0	0.0	0.0	367.91	0.008628	43.33	5.88	0.0	82.79	0.002944	40.0	0.0	0.0	196.56	0.005722	43.33	0.0	0.0	221.62	0.023882
meta-question_id	7	30	33.33	10.0	0.0	221.35	0.002263	53.33	0.0	0.0	85.67	0.018771	36.67	0.0	0.0	87.59	0.002405	10.0	0.0	0.0	328.85	0.0	13.33	0.0	0.0	439.4	0.010089	20.0	16.67	0.0	86.13	0.003095	30.0	0.0	0.0	180.32	0.006682	33.33	0.0	0.0	217.11	0.023649
meta-question_id	8	30	16.67	0.0	0.0	277.18	0.002177	13.33	0.0	0.0	83.05	0.015135	10.0	0.0	0.0	63.31	0.001518	10.0	0.0	0.0	595.09	0.0	13.33	0.0	0.0	744.84	0.011004	16.67	0.0	0.0	88.49	0.003316	3.33	0.0	0.0	194.57	0.006737	16.67	0.0	0.0	291.36	0.031605
meta-question_id	9	21	23.81	6.25	0.0	121.33	0.002026	38.1	0.0	0.0	49.44	0.008966	47.62	0.0	0.0	49.08	0.001297	38.1	0.0	0.0	355.13	0.0	28.57	0.0	0.0	222.13	0.004057	42.86	8.33	0.0	56.06	0.001936	38.1	0.0	0.0	208.47	0.004228	38.1	0.0	0.0	70.38	0.00704
category	harmony	60	18.33	8.16	0.0	396.13	0.006071	35.0	0.0	0.0	150.85	0.028082	36.67	0.0	0.0	153.0	0.003884	25.0	0.0	0.0	763.55	0.0	23.33	0.0	0.0	696.39	0.016186	21.67	25.53	0.0	153.67	0.005269	33.33	0.0	0.0	469.2	0.01178	28.33	0.0	0.0	421.95	0.04541
category	pitch	120	17.5	5.05	0.0	1222.44	0.00726	31.67	0.0	0.0	321.97	0.065388	35.0	0.0	0.0	243.94	0.006049	25.0	0.0	0.0	1909.82	0.0	25.0	0.0	0.0	2855.36	0.028449	29.17	11.76	0.0	309.2	0.010415	29.17	0.0	0.0	718.16	0.018253	25.0	1.11	0.0	977.98	0.11137
category	rhythm	120	25.0	3.33	0.0	1074.6	0.008696	37.5	0.0	0.0	336.1	0.067032	35.0	0.0	0.0	264.24	0.006882	22.5	0.0	0.0	1617.46	0.0	24.17	0.0	0.0	2169.61	0.037277	24.17	13.19	0.0	335.13	0.011962	30.83	0.0	0.0	792.0	0.024495	33.33	0.0	0.0	895.03	0.095313
subcategory	harmonic-recognition	60	18.33	8.16	0.0	396.13	0.006071	35.0	0.0	0.0	150.85	0.028082	36.67	0.0	0.0	153.0	0.003884	25.0	0.0	0.0	763.55	0.0	23.33	0.0	0.0	696.39	0.016186	21.67	25.53	0.0	153.67	0.005269	33.33	0.0	0.0	469.2	0.01178	28.33	0.0	0.0	421.95	0.04541
subcategory	interval-recognition	60	16.67	10.0	0.0	647.14	0.004209	31.67	0.0	0.0	150.67	0.033166	28.33	0.0	0.0	125.03	0.003287	23.33	0.0	0.0	664.58	0.0	25.0	0.0	0.0	1566.03	0.014858	25.0	20.0	0.0	156.43	0.005571	31.67	0.0	0.0	384.03	0.00999	20.0	2.08	0.0	687.46	0.080263
subcategory	pitch-recognition	60	18.33	0.0	0.0	575.3	0.003051	31.67	0.0	0.0	171.3	0.032222	41.67	0.0	0.0	118.91	0.002762	26.67	0.0	0.0	1245.24	0.0	25.0	0.0	0.0	1289.32	0.01359	33.33	2.5	0.0	152.77	0.004845	26.67	0.0	0.0	334.13	0.008263	30.0	0.0	0.0	290.52	0.031107
subcategory	proportion-recognition	60	25.0	4.44	0.0	498.54	0.00444	33.33	0.0	0.0	168.72	0.033906	23.33	0.0	0.0	150.9	0.003923	10.0	0.0	0.0	923.94	0.0	13.33	0.0	0.0	1184.25	0.021093	18.33	8.16	0.0	174.62	0.006411	16.67	0.0	0.0	374.89	0.013419	25.0	0.0	0.0	508.47	0.055254
subcategory	rhythmic-recognition	60	25.0	2.22	0.0	576.07	0.004256	41.67	0.0	0.0	167.39	0.033126	46.67	0.0	0.0	113.34	0.002959	35.0	0.0	0.0	693.52	0.0	35.0	0.0	0.0	985.36	0.016185	30.0	19.05	0.0	160.51	0.005551	45.0	0.0	0.0	417.11	0.011075	41.67	0.0	0.0	386.55	0.040059
skill	cadence recognition	18	11.11	12.5	0.0	92.4	0.001374	33.33	0.0	0.0	42.31	0.008807	33.33	0.0	0.0	44.68	0.001093	33.33	0.0	0.0	155.31	0.0	16.67	0.0	0.0	249.47	0.005238	5.56	23.53	0.0	43.51	0.001542	38.89	0.0	0.0	123.99	0.003662	33.33	0.0	0.0	143.54	0.015192
skill	chord recognition	21	19.05	5.88	0.0	182.4	0.002671	33.33	0.0	0.0	59.09	0.01031	28.57	0.0	0.0	59.24	0.001494	4.76	0.0	0.0	253.1	0.0	23.81	0.0	0.0	224.79	0.006891	14.29	38.89	0.0	54.1	0.001791	23.81	0.0	0.0	136.75	0.003889	14.29	0.0	0.0	208.02	0.023178
skill	interval recognition	30	13.33	11.54	0.0	308.96	0.002121	23.33	0.0	0.0	73.77	0.016457	26.67	0.0	0.0	65.63	0.001622	10.0	0.0	0.0	373.28	0.0	20.0	0.0	0.0	1023.55	0.006791	20.0	37.5	0.0	74.99	0.002742	16.67	0.0	0.0	208.8	0.005055	16.67	0.0	0.0	233.38	0.025847
skill	interval statistics	30	20.0	8.33	0.0	338.18	0.002088	40.0	0.0	0.0	76.9	0.016709	30.0	0.0	0.0	59.4	0.001664	36.67	0.0	0.0	291.3	0.0	30.0	0.0	0.0	542.48	0.008067	30.0	0.0	0.0	81.44	0.002829	46.67	0.0	0.0	175.23	0.004935	23.33	4.35	0.0	454.08	0.054417
skill	note length	30	36.67	5.26	0.0	271.22	0.001845	33.33	0.0	0.0	72.36	0.015262	46.67	0.0	0.0	61.99	0.001552	16.67	0.0	0.0	319.12	0.0	30.0	0.0	0.0	617.45	0.007557	16.67	28.0	0.0	77.72	0.002608	50.0	0.0	0.0	220.55	0.005354	40.0	0.0	0.0	164.93	0.016177
skill	note length statistics	30	13.33	0.0	0.0	304.84	0.00241	50.0	0.0	0.0	95.03	0.017864	46.67	0.0	0.0	51.34	0.001407	53.33	0.0	0.0	374.4	0.0	40.0	0.0	0.0	367.91	0.008628	43.33	5.88	0.0	82.79	0.002944	40.0	0.0	0.0	196.56	0.005722	43.33	0.0	0.0	221.62	0.023882
skill	pitch recognition	30	23.33	0.0	0.0	314.2	0.001538	30.0	0.0	0.0	82.96	0.017022	36.67	0.0	0.0	60.23	0.001461	20.0	0.0	0.0	1029.32	0.0	26.67	0.0	0.0	756.41	0.006512	26.67	0.0	0.0	77.22	0.002491	23.33	0.0	0.0	149.36	0.004203	16.67	0.0	0.0	182.3	0.020451
skill	pitch statistics	30	13.33	0.0	0.0	261.1	0.001512	33.33	0.0	0.0	88.34	0.0152	46.67	0.0	0.0	58.68	0.001302	33.33	0.0	0.0	215.92	0.0	23.33	0.0	0.0	532.91	0.007079	40.0	5.56	0.0	75.55	0.002354	30.0	0.0	0.0	184.78	0.00406	43.33	0.0	0.0	108.23	0.010656
skill	rhythm pattern	30	33.33	10.0	0.0	221.35	0.002263	53.33	0.0	0.0	85.67	0.018771	36.67	0.0	0.0	87.59	0.002405	10.0	0.0	0.0	328.85	0.0	13.33	0.0	0.0	439.4	0.010089	20.0	16.67	0.0	86.13	0.003095	30.0	0.0	0.0	180.32	0.006682	33.33	0.0	0.0	217.11	0.023649
skill	rhythm pattern statistics	30	16.67	0.0	0.0	277.18	0.002177	13.33	0.0	0.0	83.05	0.015135	10.0	0.0	0.0	63.31	0.001518	10.0	0.0	0.0	595.09	0.0	13.33	0.0	0.0	744.84	0.011004	16.67	0.0	0.0	88.49	0.003316	3.33	0.0	0.0	194.57	0.006737	16.67	0.0	0.0	291.36	0.031605
skill	tonality recognition	21	23.81	6.25	0.0	121.33	0.002026	38.1	0.0	0.0	49.44	0.008966	47.62	0.0	0.0	49.08	0.001297	38.1	0.0	0.0	355.13	0.0	28.57	0.0	0.0	222.13	0.004057	42.86	8.33	0.0	56.06	0.001936	38.1	0.0	0.0	208.47	0.004228	38.1	0.0	0.0	70.38	0.00704
rel/abs	absolute	141	21.28	1.8	0.0	1333.77	0.009978	36.17	0.0	0.0	397.78	0.075658	41.84	0.0	0.0	291.49	0.007215	26.95	0.0	0.0	2191.87	0.0	29.08	0.0	0.0	2499.47	0.036666	29.08	16.0	0.0	367.37	0.012187	34.04	0.0	0.0	887.99	0.023228	32.62	0.0	0.0	885.1	0.094344
rel/abs	relative	159	20.13	7.87	0.0	1359.41	0.012048	33.33	0.0	0.0	411.14	0.084844	29.56	0.0	0.0	369.69	0.009599	21.38	0.0	0.0	2098.96	0.0	20.13	0.0	0.0	3221.88	0.045246	22.64	14.63	0.0	430.62	0.01546	27.67	0.0	0.0	1091.37	0.031299	25.79	0.85	0.0	1409.86	0.15775
specification	harmony-absolute	21	19.05	5.88	0.0	182.4	0.002671	33.33	0.0	0.0	59.09	0.01031	28.57	0.0	0.0	59.24	0.001494	4.76	0.0	0.0	253.1	0.0	23.81	0.0	0.0	224.79	0.006891	14.29	38.89	0.0	54.1	0.001791	23.81	0.0	0.0	136.75	0.003889	14.29	0.0	0.0	208.02	0.023178
specification	harmony-relative	39	17.95	9.38	0.0	213.73	0.003399	35.9	0.0	0.0	91.76	0.017773	41.03	0.0	0.0	93.76	0.00239	35.9	0.0	0.0	510.45	0.0	23.08	0.0	0.0	471.6	0.009295	25.64	17.24	0.0	99.57	0.003478	38.46	0.0	0.0	332.45	0.00789	35.9	0.0	0.0	213.92	0.022232
specification	pitch-absolute	60	18.33	0.0	0.0	575.3	0.003051	31.67	0.0	0.0	171.3	0.032222	41.67	0.0	0.0	118.91	0.002762	26.67	0.0	0.0	1245.24	0.0	25.0	0.0	0.0	1289.32	0.01359	33.33	2.5	0.0	152.77	0.004845	26.67	0.0	0.0	334.13	0.008263	30.0	0.0	0.0	290.52	0.031107
specification	pitch-relative	60	16.67	10.0	0.0	647.14	0.004209	31.67	0.0	0.0	150.67	0.033166	28.33	0.0	0.0	125.03	0.003287	23.33	0.0	0.0	664.58	0.0	25.0	0.0	0.0	1566.03	0.014858	25.0	20.0	0.0	156.43	0.005571	31.67	0.0	0.0	384.03	0.00999	20.0	2.08	0.0	687.46	0.080263
specification	rhythm-absolute	60	25.0	2.22	0.0	576.07	0.004256	41.67	0.0	0.0	167.39	0.033126	46.67	0.0	0.0	113.34	0.002959	35.0	0.0	0.0	693.52	0.0	35.0	0.0	0.0	985.36	0.016185	30.0	19.05	0.0	160.51	0.005551	45.0	0.0	0.0	417.11	0.011075	41.67	0.0	0.0	386.55	0.040059
specification	rhythm-relative	60	25.0	4.44	0.0	498.54	0.00444	33.33	0.0	0.0	168.72	0.033906	23.33	0.0	0.0	150.9	0.003923	10.0	0.0	0.0	923.94	0.0	13.33	0.0	0.0	1184.25	0.021093	18.33	8.16	0.0	174.62	0.006411	16.67	0.0	0.0	374.89	0.013419	25.0	0.0	0.0	508.47	0.055254
