Criterion_Type	Criterion_Value	Total_Items	google_gemma-3-27b-it_text-only	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	aggregate-mistral_text-only	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	Qwen_Qwen3-Omni-30B-A3B-Thinking_white-noise	aggregate-gpt-5_normal	deepseek_deepseek-v3.2_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	meta-llama_llama-4-scout_text-only	google_gemini-2.5-flash-lite_normal	google_gemini-2.5-flash-lite_text-only	aggregate-gpt-4o_normal	aggregate-gpt-5-full_normal
meta-question_id	2	30	13.33	56.67	33.33	40.0	40.0	46.67	60.0	33.33	40.0	46.67	23.33	36.67	40.0	43.33	30.0	53.33	43.33	60.0	46.67
meta-question_id	3	30	13.33	30.0	23.33	16.67	23.33	26.67	36.67	10.0	23.33	43.33	20.0	20.0	20.0	20.0	16.67	20.0	16.67	26.67	33.33
meta-question_id	4	30	20.0	60.0	40.0	23.33	40.0	30.0	53.33	36.67	33.33	53.33	30.0	43.33	30.0	33.33	46.67	33.33	23.33	53.33	33.33
meta-question_id	5	30	36.67	53.33	33.33	36.67	63.33	46.67	43.33	16.67	13.33	60.0	30.0	66.67	16.67	26.67	50.0	43.33	40.0	53.33	53.33
meta-question_id	6	30	13.33	66.67	50.0	53.33	46.67	46.67	60.0	53.33	63.33	43.33	40.0	63.33	43.33	60.0	40.0	50.0	43.33	63.33	50.0
meta-question_id	7	30	33.33	60.0	53.33	33.33	63.33	36.67	53.33	10.0	10.0	50.0	13.33	66.67	20.0	36.67	30.0	66.67	33.33	30.0	60.0
meta-question_id	8	30	16.67	23.33	13.33	10.0	13.33	10.0	26.67	10.0	13.33	26.67	13.33	10.0	16.67	10.0	3.33	40.0	16.67	20.0	10.0
meta-question_id	9	21	23.81	57.14	38.1	19.05	47.62	47.62	66.67	38.1	19.05	47.62	28.57	42.86	42.86	28.57	38.1	38.1	38.1	42.86	57.14
category	harmony	60	18.33	38.33	35.0	21.67	43.33	36.67	41.67	25.0	16.67	26.67	23.33	38.33	21.67	25.0	33.33	35.0	28.33	33.33	30.0
category	pitch	120	17.5	44.17	31.67	27.5	30.0	35.0	49.17	25.0	30.83	46.67	25.0	30.0	29.17	30.83	29.17	35.0	25.0	44.17	34.17
category	rhythm	120	25.0	50.83	37.5	33.33	46.67	35.0	45.83	22.5	25.0	45.0	24.17	51.67	24.17	33.33	30.83	50.0	33.33	41.67	43.33
subcategory	harmonic-recognition	60	18.33	38.33	35.0	21.67	43.33	36.67	41.67	25.0	16.67	26.67	23.33	38.33	21.67	25.0	33.33	35.0	28.33	33.33	30.0
subcategory	interval-recognition	60	16.67	45.0	31.67	20.0	31.67	28.33	45.0	23.33	28.33	48.33	25.0	31.67	25.0	26.67	31.67	26.67	20.0	40.0	33.33
subcategory	pitch-recognition	60	18.33	43.33	31.67	35.0	28.33	41.67	53.33	26.67	33.33	45.0	25.0	28.33	33.33	35.0	26.67	43.33	30.0	48.33	35.0
subcategory	proportion-recognition	60	25.0	41.67	33.33	21.67	38.33	23.33	40.0	10.0	11.67	38.33	13.33	38.33	18.33	23.33	16.67	53.33	25.0	25.0	35.0
subcategory	rhythmic-recognition	60	25.0	60.0	41.67	45.0	55.0	46.67	51.67	35.0	38.33	51.67	35.0	65.0	30.0	43.33	45.0	46.67	41.67	58.33	51.67
skill	cadence recognition	18	11.11	27.78	33.33	22.22	22.22	33.33	22.22	33.33	11.11	16.67	16.67	27.78	5.56	27.78	38.89	27.78	33.33	33.33	22.22
skill	chord recognition	21	19.05	28.57	33.33	23.81	57.14	28.57	33.33	4.76	19.05	14.29	23.81	42.86	14.29	19.05	23.81	38.1	14.29	23.81	9.52
skill	interval recognition	30	13.33	30.0	23.33	16.67	23.33	26.67	36.67	10.0	23.33	43.33	20.0	20.0	20.0	20.0	16.67	20.0	16.67	26.67	33.33
skill	interval statistics	30	20.0	60.0	40.0	23.33	40.0	30.0	53.33	36.67	33.33	53.33	30.0	43.33	30.0	33.33	46.67	33.33	23.33	53.33	33.33
skill	note length	30	36.67	53.33	33.33	36.67	63.33	46.67	43.33	16.67	13.33	60.0	30.0	66.67	16.67	26.67	50.0	43.33	40.0	53.33	53.33
skill	note length statistics	30	13.33	66.67	50.0	53.33	46.67	46.67	60.0	53.33	63.33	43.33	40.0	63.33	43.33	60.0	40.0	50.0	43.33	63.33	50.0
skill	pitch recognition	30	23.33	30.0	30.0	30.0	16.67	36.67	46.67	20.0	26.67	43.33	26.67	20.0	26.67	26.67	23.33	33.33	16.67	36.67	23.33
skill	pitch statistics	30	13.33	56.67	33.33	40.0	40.0	46.67	60.0	33.33	40.0	46.67	23.33	36.67	40.0	43.33	30.0	53.33	43.33	60.0	46.67
skill	rhythm pattern	30	33.33	60.0	53.33	33.33	63.33	36.67	53.33	10.0	10.0	50.0	13.33	66.67	20.0	36.67	30.0	66.67	33.33	30.0	60.0
skill	rhythm pattern statistics	30	16.67	23.33	13.33	10.0	13.33	10.0	26.67	10.0	13.33	26.67	13.33	10.0	16.67	10.0	3.33	40.0	16.67	20.0	10.0
skill	tonality recognition	21	23.81	57.14	38.1	19.05	47.62	47.62	66.67	38.1	19.05	47.62	28.57	42.86	42.86	28.57	38.1	38.1	38.1	42.86	57.14
rel/abs	absolute	141	21.28	48.23	36.17	37.59	43.97	41.84	49.65	26.95	33.33	43.26	29.08	46.1	29.08	36.17	34.04	43.97	32.62	48.94	38.3
rel/abs	relative	159	20.13	43.4	33.33	20.75	35.22	29.56	43.4	21.38	18.87	40.88	20.13	35.22	22.64	25.79	27.67	38.36	25.79	33.96	35.85
specification	harmony-absolute	21	19.05	28.57	33.33	23.81	57.14	28.57	33.33	4.76	19.05	14.29	23.81	42.86	14.29	19.05	23.81	38.1	14.29	23.81	9.52
specification	harmony-relative	39	17.95	43.59	35.9	20.51	35.9	41.03	46.15	35.9	15.38	33.33	23.08	35.9	25.64	28.21	38.46	33.33	35.9	38.46	41.03
specification	pitch-absolute	60	18.33	43.33	31.67	35.0	28.33	41.67	53.33	26.67	33.33	45.0	25.0	28.33	33.33	35.0	26.67	43.33	30.0	48.33	35.0
specification	pitch-relative	60	16.67	45.0	31.67	20.0	31.67	28.33	45.0	23.33	28.33	48.33	25.0	31.67	25.0	26.67	31.67	26.67	20.0	40.0	33.33
specification	rhythm-absolute	60	25.0	60.0	41.67	45.0	55.0	46.67	51.67	35.0	38.33	51.67	35.0	65.0	30.0	43.33	45.0	46.67	41.67	58.33	51.67
specification	rhythm-relative	60	25.0	41.67	33.33	21.67	38.33	23.33	40.0	10.0	11.67	38.33	13.33	38.33	18.33	23.33	16.67	53.33	25.0	25.0	35.0
